HS_SIX	SCTG_TWO	SCTG_GROUP	NOTES
261790	14	10-14	
261800	41	39-43	
261900	41	39-43	
262011	41	39-43	
262019	41	39-43	
262021	41	39-43	
262029	41	39-43	
262030	41	39-43	
262040	41	39-43	
262060	41	39-43	
262091	41	39-43	
262099	41	39-43	
262110	41	39-43	
262190	41	39-43	
270111	15	15-19	
270112	15	15-19	
270119	15	15-19	
270120	15	15-19	
270210	15	15-19	
270220	15	15-19	
270300	13	10-14	
270400	19	15-19	
270500	19	15-19	
270600	19	15-19	
270710	20	20-24	
270720	20	20-24	
270730	20	20-24	
270740	20	20-24	
270750	20	20-24	
270791	20	20-24	
270799	20	20-24	A
270810	19	15-19	
270820	19	15-19	
270900	16	15-19	
271012	17	15-19	A
271019	18	15-19	A
271020	18	15-19	
271091	41	39-43	
271099	41	39-43	
271111	19	15-19	
271112	19	15-19	
271113	19	15-19	
271114	19	15-19	
271119	19	15-19	
271121	19	15-19	
271129	19	15-19	
271210	19	15-19	
271220	19	15-19	
271290	19	15-19	
271311	19	15-19	
271312	19	15-19	
271320	19	15-19	
271390	19	15-19	
271410	19	15-19	
271490	19	15-19	
271500	19	15-19	
271600	98	98	
280110	20	20-24	
280120	20	20-24	
280130	20	20-24	
280200	20	20-24	
280300	20	20-24	
280410	20	20-24	
280421	20	20-24	
280429	20	20-24	
280430	20	20-24	
280440	20	20-24	
280450	20	20-24	
280461	20	20-24	
280469	20	20-24	
280470	20	20-24	
280480	20	20-24	
280490	20	20-24	
280511	20	20-24	
280512	20	20-24	
280519	20	20-24	
280530	20	20-24	
280540	20	20-24	
280610	20	20-24	
280620	20	20-24	
280700	20	20-24	
280800	22	20-24	
280910	22	20-24	
280920	22	20-24	
281000	20	20-24	
281111	20	20-24	
281119	20	20-24	
281121	20	20-24	
281122	20	20-24	
281129	20	20-24	
281210	20	20-24	A
281290	20	20-24	
281310	20	20-24	
281390	22	20-24	
281410	22	20-24	
281420	22	20-24	
281511	20	20-24	
281512	20	20-24	
281520	20	20-24	
281530	20	20-24	
281610	20	20-24	
281640	20	20-24	
281700	20	20-24	
281810	20	20-24	
281820	20	20-24	
281830	20	20-24	
281910	20	20-24	
281990	20	20-24	
282010	20	20-24	
282090	20	20-24	
282110	20	20-24	
282120	20	20-24	
282200	20	20-24	
282300	20	20-24	
282410	20	20-24	
282490	20	20-24	
282510	20	20-24	
282520	20	20-24	
282530	20	20-24	
282540	20	20-24	
282550	20	20-24	
282560	20	20-24	
282570	20	20-24	
282580	20	20-24	
282590	20	20-24	
282612	20	20-24	
282619	20	20-24	
282630	20	20-24	
282690	20	20-24	
282710	20	20-24	
282720	20	20-24	
282731	20	20-24	
282732	20	20-24	
282735	20	20-24	
282739	20	20-24	
282741	20	20-24	
282749	20	20-24	
282751	20	20-24	
282759	20	20-24	
282760	20	20-24	
282810	20	20-24	
282890	20	20-24	
282911	20	20-24	
282919	20	20-24	
282990	20	20-24	
283010	20	20-24	
283090	20	20-24	
283110	20	20-24	
283190	20	20-24	
283210	20	20-24	
283220	20	20-24	
283230	20	20-24	
283311	20	20-24	
283319	20	20-24	
283321	20	20-24	
283322	20	20-24	
283324	20	20-24	
283325	20	20-24	
283327	20	20-24	
283329	20	20-24	
283330	20	20-24	
283340	20	20-24	
283410	20	20-24	
283421	22	20-24	
283429	20	20-24	
283510	20	20-24	
283522	20	20-24	
283524	22	20-24	
283525	20	20-24	
283526	20	20-24	
283529	20	20-24	
283531	20	20-24	
283539	20	20-24	
283620	20	20-24	
283630	20	20-24	
283640	20	20-24	
283650	20	20-24	
283660	20	20-24	
283691	20	20-24	
283692	20	20-24	
283699	20	20-24	
283711	20	20-24	
283719	20	20-24	
283720	20	20-24	
283911	20	20-24	
283919	20	20-24	
283990	20	20-24	
284011	20	20-24	
284019	20	20-24	
284020	20	20-24	
284030	20	20-24	
284130	20	20-24	
284150	20	20-24	
284161	20	20-24	
284169	20	20-24	
284170	20	20-24	
284180	20	20-24	
284190	20	20-24	
284210	20	20-24	
284290	20	20-24	
284310	20	20-24	
284321	20	20-24	
284329	20	20-24	
284330	20	20-24	
284390	20	20-24	
284410	20	20-24	
284420	20	20-24	
284430	20	20-24	
284440	20	20-24	
284450	20	20-24	
284510	20	20-24	
284590	20	20-24	
284610	20	20-24	
284690	20	20-24	
284700	20	20-24	
284800	20	20-24	
284910	20	20-24	
284920	20	20-24	
284990	20	20-24	
285000	20	20-24	
285210	20	20-24	
285290	20	20-24	
285300	20	20-24	
290110	20	20-24	
290121	20	20-24	
290122	20	20-24	
290123	20	20-24	
290124	20	20-24	
290129	20	20-24	
290211	20	20-24	
290219	20	20-24	
290220	20	20-24	
290230	20	20-24	
290241	20	20-24	
290242	20	20-24	
290243	20	20-24	
290244	20	20-24	
290250	20	20-24	
290260	20	20-24	
290270	20	20-24	
290290	20	20-24	
290311	20	20-24	
290312	20	20-24	
290313	20	20-24	
290314	20	20-24	
290315	20	20-24	
290319	20	20-24	
290321	20	20-24	
290322	20	20-24	
290323	20	20-24	
290329	20	20-24	
290331	20	20-24	
290339	20	20-24	
290371	20	20-24	
290372	20	20-24	
290373	20	20-24	
290374	20	20-24	
290375	20	20-24	
290376	20	20-24	
290377	20	20-24	
290378	20	20-24	
290379	20	20-24	
290381	20	20-24	
290382	20	20-24	
290389	20	20-24	
290391	20	20-24	
290392	20	20-24	
290399	20	20-24	
290410	20	20-24	
290420	20	20-24	
290490	20	20-24	
290511	20	20-24	
290512	20	20-24	
290513	20	20-24	
290514	20	20-24	
290516	20	20-24	
290517	20	20-24	
290519	20	20-24	
290522	20	20-24	
290529	20	20-24	
290531	20	20-24	
290532	20	20-24	
290539	20	20-24	
290541	20	20-24	
290542	20	20-24	
290543	20	20-24	
290544	20	20-24	
290545	20	20-24	
290549	20	20-24	
290551	20	20-24	
290559	20	20-24	
290611	20	20-24	
290612	20	20-24	
290613	20	20-24	
290619	20	20-24	
290621	20	20-24	
290629	20	20-24	
290711	20	20-24	
290712	20	20-24	
290713	20	20-24	
290715	20	20-24	
290719	20	20-24	
290721	20	20-24	
290722	20	20-24	
290723	20	20-24	
290729	20	20-24	
290811	20	20-24	
290819	20	20-24	
290891	20	20-24	
290892	20	20-24	
290899	20	20-24	
290911	20	20-24	
290919	20	20-24	
290920	20	20-24	
290930	20	20-24	
290941	20	20-24	
290943	20	20-24	
290944	20	20-24	
290949	20	20-24	
290950	20	20-24	
290960	20	20-24	
291010	20	20-24	
291020	20	20-24	
291030	20	20-24	
291040	20	20-24	
291090	20	20-24	
291100	20	20-24	
291211	20	20-24	
291212	20	20-24	
291219	20	20-24	
291221	20	20-24	
291229	20	20-24	
291241	20	20-24	
291242	20	20-24	
291249	20	20-24	
291250	20	20-24	
291260	20	20-24	
291300	20	20-24	
291411	20	20-24	
291412	20	20-24	
291413	20	20-24	
291419	20	20-24	
291422	20	20-24	
291423	20	20-24	
291429	20	20-24	
291431	20	20-24	
291439	20	20-24	
291440	20	20-24	
291450	20	20-24	
291461	20	20-24	
291469	20	20-24	
291470	20	20-24	
291511	20	20-24	
291512	20	20-24	
291513	20	20-24	
291521	20	20-24	
291524	20	20-24	
291529	20	20-24	
291531	20	20-24	
291532	20	20-24	
291533	20	20-24	
291536	20	20-24	
291539	20	20-24	
291540	20	20-24	
291550	20	20-24	
291560	20	20-24	
291570	20	20-24	
291590	20	20-24	
291611	20	20-24	
291612	20	20-24	
291613	20	20-24	
291614	20	20-24	
291615	20	20-24	
291616	20	20-24	
291619	20	20-24	
291620	20	20-24	
291631	20	20-24	
291632	20	20-24	
291634	20	20-24	
291639	20	20-24	
291711	20	20-24	
291712	20	20-24	
291713	20	20-24	
291714	20	20-24	
291719	20	20-24	
291720	20	20-24	
291732	20	20-24	
291733	20	20-24	
291734	20	20-24	
291735	20	20-24	
291736	20	20-24	
291737	20	20-24	
291739	20	20-24	
