Port,Commodity,Total Exports Value ($US),Vessel Total Exports Value ($US),Vessel Total Exports SWT (kg),Air Total Exports Value ($US),Air Total Exports SWT (kg),Containerized Vessel Total Exports Value ($US),Containerized Vessel Total Exports SWT (kg)
"Los Angeles International Airport, CA (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",316161,,,316161,217491,,
"Los Angeles International Airport, CA (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",187419,,,187419,29841,,
"Los Angeles International Airport, CA (Port)",1703 Molasses From The Extraction Or Refining Of Sugar,10114,,,10114,9659,,
"Los Angeles International Airport, CA (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",1003812,,,1003812,214377,,
"Los Angeles International Airport, CA (Port)","1804 Cocoa Butter, Fat And Oil",21750,,,21750,6741,,
"Los Angeles International Airport, CA (Port)","1805 Cocoa Powder, Not Sweetened",27187,,,27187,22774,,
"Los Angeles International Airport, CA (Port)",1806 Chocolate & Other Food Products Containing Cocoa,4123689,,,4123689,873353,,
"Los Angeles International Airport, CA (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,2041942,,,2041942,810095,,
"Los Angeles International Airport, CA (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",92621,,,92621,30179,,
"Los Angeles International Airport, CA (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",634778,,,634778,225817,,
"Los Angeles International Airport, CA (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",828477,,,828477,294802,,
"Los Angeles International Airport, CA (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",228888,,,228888,157708,,
"Los Angeles International Airport, CA (Port)",2002 Tomatoes Prepared Or Preserved Nesoi,28650,,,28650,22936,,
"Los Angeles International Airport, CA (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",64098,,,64098,41099,,
"Los Angeles International Airport, CA (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",271724,,,271724,115921,,
"Los Angeles International Airport, CA (Port)","2006 Veg/fruit/nuts/fruit-peel Etc, Preserved By Sugar",2501,,,2501,113,,
"Los Angeles International Airport, CA (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",136810,,,136810,62002,,
"Los Angeles International Airport, CA (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",4573422,,,4573422,1948734,,
"Los Angeles International Airport, CA (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,11928450,,,11928450,2677976,,
"Los Angeles International Airport, CA (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",3365419,,,3365419,668989,,
"Los Angeles International Airport, CA (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,1450700,,,1450700,139218,,
"Los Angeles International Airport, CA (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",611348,,,611348,288809,,
"Los Angeles International Airport, CA (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",455995,,,455995,322459,,
"Los Angeles International Airport, CA (Port)","2105 Ice Cream And Other Edible Ice, With Cocoa Or Not",543644,,,543644,161355,,
"Los Angeles International Airport, CA (Port)",2106 Food Preparations Nesoi,201455416,,,201455416,9810113,,
"Los Angeles International Airport, CA (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",988419,,,988419,282668,,
"Los Angeles International Airport, CA (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",6197791,,,6197791,1265627,,
"Los Angeles International Airport, CA (Port)",2203 Beer Made From Malt,101975,,,101975,226771,,
"Los Angeles International Airport, CA (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,20611853,,,20611853,768155,,
"Los Angeles International Airport, CA (Port)",2205 Vermouth & Oth Wine Of Fresh Grapes Spec Flavored,109102,,,109102,64831,,
"Los Angeles International Airport, CA (Port)","2206 Fermented Beverages Nesoi (cider, Perry, Mead Etc)",46084,,,46084,57962,,
"Los Angeles International Airport, CA (Port)","2207 Ethyl Alcohol, Undenat, Nun80% Alc; Alcohol, Denat",103899,,,103899,106680,,
"Los Angeles International Airport, CA (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",3915553,,,3915553,301485,,
"Los Angeles International Airport, CA (Port)","2302 Bran, Sharps Etc From Working Cereals & Leg Plants",42590,,,42590,4962,,
"Los Angeles International Airport, CA (Port)","2308 Veg Material, Waste Etc For Feeding Animals Nesoi",39980,,,39980,26672,,
"Los Angeles International Airport, CA (Port)",2309 Preparations Used In Animal Feeding,1828137,,,1828137,443220,,
"Los Angeles International Airport, CA (Port)","2401 Tobacco, Unmanufactured; Tobacco Refuse",79360,,,79360,7067,,
"Los Angeles International Airport, CA (Port)","2402 Cigars, Cigarettes Etc., Of Tobacco Or Substitutes",1379956,,,1379956,105257,,
"Los Angeles International Airport, CA (Port)",2403 Tobacco & Tobacco Subst Mfrs Nesoi; Tob Proces Etc,633100,,,633100,86890,,
"Los Angeles International Airport, CA (Port)",4101 Raw Hides & Skins Of Bovine Or Equine Animals,37368,,,37368,12034,,
"Los Angeles International Airport, CA (Port)",4102 Raw Skins Of Sheep Or Lambs Nesoi,17318,,,17318,1007,,
"Los Angeles International Airport, CA (Port)",4103 Raw Hides And Skins Nesoi (fr Or Pres Not Tan Etc),59990,,,59990,740,,
"Los Angeles International Airport, CA (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",236850,,,236850,8437,,
"Los Angeles International Airport, CA (Port)","4105 Sheep Or Lamb Skin Leather, No Wool Nesoi",8228,,,8228,96,,
"Los Angeles International Airport, CA (Port)","4106 Other Animal N Leather, No Hair Nesoi",37693,,,37693,160,,
"Los Angeles International Airport, CA (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",1187943,,,1187943,40671,,
"Los Angeles International Airport, CA (Port)","4112 Sheep/lamb Ltr,ft Prp Tan/crus, W/o Wool,nt Hd4114",363780,,,363780,6649,,
"Los Angeles International Airport, CA (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",309790,,,309790,13701,,
"Los Angeles International Airport, CA (Port)",4114 Chamois/patent/patent Laminated/metallized Leather,199577,,,199577,10390,,
"Los Angeles International Airport, CA (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",19592,,,19592,246,,
"Los Angeles International Airport, CA (Port)","5101 Wool, Not Carded Or Combed",3584,,,3584,1265,,
"Los Angeles International Airport, CA (Port)","5102 Fine Or Coarse Animal Hair, Not Carded Or Combed",306740,,,306740,7597,,
"Los Angeles International Airport, CA (Port)","5105 Wool & Fine Or Coarse Animal Hair, Carded & Combed",12730,,,12730,984,,
"Los Angeles International Airport, CA (Port)","5106 Yarn Of Carded Wool, Not Put Up For Retail Sale",91483,,,91483,1985,,
"Los Angeles International Airport, CA (Port)","5107 Yarn Of Combed Wool, Not Put Up For Retail Sale",2970,,,2970,191,,
"Los Angeles International Airport, CA (Port)",5111 Woven Fabrics Of Carded Wool Or Fine Animal Hair,40325,,,40325,2264,,
"Los Angeles International Airport, CA (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,40767,,,40767,1265,,
"Los Angeles International Airport, CA (Port)","5201 Cotton, Not Carded Or Combed",15111,,,15111,4222,,
"Los Angeles International Airport, CA (Port)",5202 Cotton Waste (including Yarn Waste Etc.),13056,,,13056,17152,,
"Los Angeles International Airport, CA (Port)","5203 Cotton, Carded Or Combed",14936,,,14936,367,,
"Los Angeles International Airport, CA (Port)","5204 Cotton Sewing Thread, Retail Packed Or Not",46695,,,46695,1642,,
"Los Angeles International Airport, CA (Port)",5205 Cotton Yarn (not Sewing Thread) Nu85%cot No Retail,21377,,,21377,3452,,
"Los Angeles International Airport, CA (Port)",5207 Cotton Yarn (not Sewing Thread) Retail Packed,982496,,,982496,29382,,
"Los Angeles International Airport, CA (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",2699086,,,2699086,122264,,
"Los Angeles International Airport, CA (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",616102,,,616102,70389,,
"Los Angeles International Airport, CA (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",68969,,,68969,872,,
"Los Angeles International Airport, CA (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",254622,,,254622,32854,,
"Los Angeles International Airport, CA (Port)",5212 Woven Cotton Fabrics Nesoi,108719,,,108719,5421,,
"Los Angeles International Airport, CA (Port)",5306 Flax Yarn,26418,,,26418,7844,,
"Los Angeles International Airport, CA (Port)",5307 Yarn Of Jute & Other Textile Bast Fibers Nesoi,16985,,,16985,4431,,
"Los Angeles International Airport, CA (Port)",5309 Woven Fabrics Of Flax,96624,,,96624,3363,,
"Los Angeles International Airport, CA (Port)",5311 Wov Fab Of Ot Veg Textile Fib Wov Fab Of ppr Yarn,3000,,,3000,426,,
"Los Angeles, CA (Port)","0101 Horses, Asses, Mules And Hinnies, Live",85860,85860,1681,,,85860,1681
"Los Angeles, CA (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",191386279,191386279,27779356,,,157702367,23031409
"Los Angeles, CA (Port)","0202 Meat Of Bovine Animals, Frozen",671304238,671304238,149464111,,,600953681,133363671
"Los Angeles, CA (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",423151424,423151424,175410160,,,363726519,145274538
"Los Angeles, CA (Port)","0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen",87254,87254,7227,,,87254,7227
"Los Angeles, CA (Port)","0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.",191011472,191011472,78047208,,,178150424,73631842
"Los Angeles, CA (Port)","0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",70727470,70727470,58151214,,,63485546,53256610
"Los Angeles, CA (Port)","0208 Meat & Edible Offal Nesoi, Fresh, Chilld Or Frozen",773334,773334,294743,,,13334,10777
"Los Angeles, CA (Port)",0209 Pig/poultry Fat Frsh Chld Frz Salt Brine Dried Smk,740007,740007,1123754,,,740007,1123754
"Los Angeles, CA (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",3635699,3635699,1140187,,,3481225,1101551
"Los Angeles, CA (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",1492087,1492087,679330,,,1306907,478612
"Los Angeles, CA (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",17130455,17130455,14273217,,,14721570,12643699
"Los Angeles, CA (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",11816421,11816421,2297655,,,9171599,1895589
"Los Angeles, CA (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",702666,702666,59922,,,702666,59922
"Los Angeles, CA (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,7241335,7241335,833042,,,6866331,803110
"Los Angeles, CA (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,66199877,66199877,46448337,,,45370963,31032569
"Los Angeles, CA (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,8449563,8449563,554243,,,3442708,233015
"Los Angeles, CA (Port)","0401 Milk And Cream, Not Concentrated Or Sweetened",109893,109893,80806,,,88773,60141
"Los Angeles, CA (Port)","0402 Milk And Cream, Concentrated Or Sweetened",310490452,310490452,104006096,,,70084393,24526135
"Los Angeles, CA (Port)","0403 Buttermilk, Yogurt, Kephir Etc, Flavord Etc Or Not",34006964,34006964,11905935,,,14699848,5068615
"Los Angeles, CA (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",77625579,77625579,54476613,,,57410156,37366630
"Los Angeles, CA (Port)",0405 Butter And Other Fats And Oils Derived From Milk,52415805,52415805,14425831,,,44048815,12272082
"Los Angeles, CA (Port)",0406 Cheese And Curd,59346331,59346331,15127894,,,53154193,13314168
"Los Angeles, CA (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",931537,931537,555791,,,931537,555791
"Los Angeles, CA (Port)","0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",5962268,5962268,1832906,,,3731657,1324051
"Los Angeles, CA (Port)","0409 Honey, Natural",2195087,2195087,694950,,,2096951,677687
"Los Angeles, CA (Port)","0410 Edible Products Of Animal Origin, Nesoi",2722,2722,475,,,2722,475
"Los Angeles, CA (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",43384705,43384705,13046569,,,34357775,12424817
"Los Angeles, CA (Port)",0505 Bird Skins & Other Feathered Parts And Down,37932441,37932441,3606450,,,30827935,2494472
"Los Angeles, CA (Port)","0506 Bones & Horn-cores, Unworked Etc; Powder & Waste",3826395,3826395,6743957,,,3699221,6394487
"Los Angeles, CA (Port)","0507 Ivory, Tortoise-shell, Whalebone, Horns Etc, Unwrk",3000,3000,380,,,3000,380
"Los Angeles, CA (Port)","0508 Coral, Shell Of Molluscs Etc Unworked Powder/waste",365874,365874,130382,,,334529,107162
"Los Angeles, CA (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",2758606,2758606,1377728,,,2541499,1299069
"Los Angeles, CA (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",343180,343180,72549,,,128222,64741
"Los Angeles, CA (Port)","0603 Cut Flowers & Buds For Bouquets Etc., Prepared",88499,88499,8360,,,47541,3933
"Los Angeles, CA (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",401891,401891,93865,,,326795,63570
"Los Angeles, CA (Port)","0701 Potatoes (except Sweet Potatoes), Fresh Or Chilled",5678226,5678226,10213335,,,5597041,10072711
"Los Angeles, CA (Port)","0702 Tomatoes, Fresh Or Chilled",20000,20000,18000,,,20000,18000
"Los Angeles, CA (Port)","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled",4268196,4268196,5563667,,,2292594,3716084
"Los Angeles, CA (Port)","0704 Cabbages, Cauliflower, Kale Etc, Fresh Or Chilled",25792681,25792681,30176692,,,24125349,28119465
"Los Angeles, CA (Port)","0705 Lettuce And Chicory, Fresh Or Chilled",2645664,2645664,2925462,,,2365094,2562647
"Los Angeles, CA (Port)","0706 Carrots, Turnips & Other Edible Roots, Fr Or Chill",319320,319320,418011,,,261915,352450
"Los Angeles, CA (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",285018,285018,160266,,,285018,160266
"Los Angeles, CA (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",14765925,14765925,12484317,,,8018207,9580252
"Los Angeles, CA (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",2076192,2076192,1495782,,,2071233,1491666
"Los Angeles, CA (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",4932319,4932319,1433455,,,4062383,1243036
"Los Angeles, CA (Port)","0713 Leguminous Vegetables, Dried Shelled",7684239,7684239,12144111,,,4953578,7779770
"Los Angeles, CA (Port)","0714 Cassava, Arrowroot Etc, Fresh Or Dry; Sago Pith",16519,16519,42915,,,13440,38892
"Los Angeles, CA (Port)","0801 Coconuts, Brazil Nuts & Cashew Nuts, Fresh Or Dry",188930,188930,83801,,,178230,81034
"Los Angeles, CA (Port)","0802 Nuts Nesoi, Fresh Or Dried",519756533,519756533,86577519,,,327781471,52992073
"Los Angeles, CA (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",13120418,13120418,3635372,,,6851336,1631800
"Los Angeles, CA (Port)","0805 Citrus Fruit, Fresh Or Dried",192412549,192412549,193352377,,,152667542,159385685
"Los Angeles, CA (Port)","0806 Grapes, Fresh Or Dried",133382855,133382855,64940131,,,106050654,53023895
"Los Angeles, CA (Port)","0807 Melons And Papayas, Fresh",1834857,1834857,2633576,,,979910,1511134
"Los Angeles, CA (Port)","0808 Apples, Pears And Quinces, Fresh",24591570,24591570,23197529,,,24487468,23085275
"Los Angeles, CA (Port)","0809 Apricots, Cherries, Peaches, Plums & Sloes, Fresh",11280114,11280114,7417140,,,9775793,6453966
"Los Angeles, CA (Port)","0810 Fruit Nesoi, Fresh",4578888,4578888,1929931,,,3843232,1576313
"Los Angeles, CA (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",3394104,3394104,1677426,,,3297505,1594332
"Los Angeles, CA (Port)","0812 Fruit & Nuts Temporarily Preserved, Not Now Edible",29779,29779,18315,,,,
"Los Angeles, CA (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,12977791,12977791,4050210,,,11381670,3604311
"Los Angeles, CA (Port)","0814 Peel, Citrus Or Melon, Frsh/frzn/dried/provsl Pres",570446,570446,434825,,,529034,402970
"Los Angeles, CA (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,11589002,11589002,1585885,,,10357589,1409461
"Los Angeles, CA (Port)","0902 Tea, Whether Or Not Flavored",3093302,3093302,1240538,,,2937851,1175239
"Los Angeles, CA (Port)",0903 Mate,22692,22692,6411,,,22692,6411
"Los Angeles, CA (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",1645063,1645063,495894,,,1235688,366663
"Los Angeles, CA (Port)",0905 Vanilla,318137,318137,13536,,,306835,12935
"Los Angeles, CA (Port)",0906 Cinnamon And Cinnamon-tree Flowers,194304,194304,53251,,,164418,42341
"Los Angeles, CA (Port)","0907 Cloves (whole Fruit, Cloves And Stems)",9293,9293,665,,,,
"Los Angeles, CA (Port)",0909 Seeds Anise Badian Fennl Coriandr Etc; Junpr Berrs,275593,275593,120829,,,199683,105690
"Los Angeles, CA (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",1916437,1916437,630327,,,1666235,552004
"Los Angeles, CA (Port)",1001 Wheat And Meslin,3440807,3440807,9196014,,,3399313,9057014
"Los Angeles, CA (Port)",1002 Rye,1804000,1804000,1557700,,,1804000,1557700
"Los Angeles, CA (Port)",1003 Barley,170000,170000,453590,,,170000,453590
"Los Angeles, CA (Port)",1004 Oats,313439,313439,1647380,,,307828,1613380
"Los Angeles, CA (Port)",1005 Corn (maize),120819293,120819293,360009887,,,77753754,227588696
"Los Angeles, CA (Port)",1006 Rice,10152215,10152215,10390425,,,8072374,7660927
"Los Angeles, CA (Port)",1007 Grain Sorghum,489453,489453,1407605,,,370537,1272464
"Los Angeles, CA (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",977103,977103,1781721,,,828912,1721122
"Los Angeles, CA (Port)",1101 Wheat Or Meslin Flour,762419,762419,787771,,,254407,244166
"Los Angeles, CA (Port)","1102 Cereal Flours, Except Of Wheat Or Of Meslin",1780030,1780030,2026581,,,1540279,1718912
"Los Angeles, CA (Port)","1103 Cereal Groats, Meal And Pellets",2978884,2978884,5052573,,,2919127,4964121
"Los Angeles, CA (Port)","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk",2118436,2118436,2592911,,,1612093,2453742
"Los Angeles, CA (Port)","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes",1819515,1819515,1159940,,,1479190,928371
"Los Angeles, CA (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",716473,716473,507144,,,597558,423479
"Los Angeles, CA (Port)","1107 Malt, Whether Or Not Roasted",13083,13083,11976,,,,
"Los Angeles, CA (Port)",1108 Starches; Inulin,13387801,13387801,18053500,,,12243836,16990767
"Los Angeles, CA (Port)","1109 Wheat Gluten, Whether Or Not Dried",764469,764469,264496,,,764469,264496
"Los Angeles, CA (Port)","1201 Soybeans, Whether Or Not Broken",413068818,413068818,720789373,,,326151207,567136571
"Los Angeles, CA (Port)","1202 Peanuts (ground-nuts), Raw",3762986,3762986,2778427,,,3593858,2668366
"Los Angeles, CA (Port)","1204 Flaxseed (linseed), Whether Or Not Broken",77357,77357,153198,,,19378,32533
